ano,regiao,uf,codigo_municipio,municipio,localizacao,dependencia,abandono_fund_1_ano,abandono_fund_2_ano,abandono_fund_3_ano,abandono_fund_4_ano,abandono_fund_5_ano,abandono_fund_6_ano,abandono_fund_7_ano,abandono_fund_8_ano,abandono_fund_9_ano,abandono_fund_anos_finais,abandono_fund_anos_iniciais,abandono_fund_total,abandono_medio_1_serie,abandono_medio_2_serie,abandono_medio_3_serie,abandono_medio_4_serie,abandono_medio_nao_seriado,abandono_medio_total,aprovacao_fund_1_ano,aprovacao_fund_2_ano,aprovacao_fund_3_ano,aprovacao_fund_4_ano,aprovacao_fund_5_ano,aprovacao_fund_6_ano,aprovacao_fund_7_ano,aprovacao_fund_8_ano,aprovacao_fund_9_ano,aprovacao_fund_anos_finais,aprovacao_fund_anos_iniciais,aprovacao_fund_total,aprovacao_medio_1_serie,aprovacao_medio_2_serie,aprovacao_medio_3_serie,aprovacao_medio_4_serie,aprovacao_medio_nao_seriado,aprovacao_medio_total,reprovacao_fund_1_ano,reprovacao_fund_2_ano,reprovacao_fund_3_ano,reprovacao_fund_4_ano,reprovacao_fund_5_ano,reprovacao_fund_6_ano,reprovacao_fund_7_ano,reprovacao_fund_8_ano,reprovacao_fund_9_ano,reprovacao_fund_anos_finais,reprovacao_fund_anos_iniciais,reprovacao_fund_total,reprovacao_medio_1_serie,reprovacao_medio_2_serie,reprovacao_medio_3_serie,reprovacao_medio_4_serie,reprovacao_medio_nao_seriado,reprovacao_medio_total
2025,Nordeste,PB,2500106,Água Branca,Total,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,2.2,1.4,,,6.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.2,95.5,98.6,,,92.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.3,0.0,,,1.3
2025,Nordeste,PB,2500106,Água Branca,Urbana,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,2.2,1.4,,,6.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.2,95.5,98.6,,,92.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.3,0.0,,,1.3
2025,Nordeste,PB,2500106,Água Branca,Rural,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025,Nordeste,PB,2500106,Água Branca,Total,Estadual,,,,,,,,,,,,,11.4,2.2,1.4,,,6.5,,,,,,,,,,,,,87.2,95.5,98.6,,,92.2,,,,,,,,,,,,,1.4,2.3,0.0,,,1.3
2025,Nordeste,PB,2500106,Água Branca,Urbana,Estadual,,,,,,,,,,,,,11.4,2.2,1.4,,,6.5,,,,,,,,,,,,,87.2,95.5,98.6,,,92.2,,,,,,,,,,,,,1.4,2.3,0.0,,,1.3
2025,Nordeste,PB,2500106,Água Branca,Total,Municipal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025,Nordeste,PB,2500106,Água Branca,Urbana,Municipal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025,Nordeste,PB,2500106,Água Branca,Rural,Municipal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025,Nordeste,PB,2500106,Água Branca,Total,Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,2.2,1.4,,,6.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.2,95.5,98.6,,,92.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.3,0.0,,,1.3
2025,Nordeste,PB,2500106,Água Branca,Urbana,Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,2.2,1.4,,,6.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.2,95.5,98.6,,,92.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.3,0.0,,,1.3
